,report_year,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
report_year,1.0,0.06649787443847748,-0.004466426586202758,-0.02339553595686563,-0.10715106516230553,0.010825203283990791,-0.09550465771089796,-0.0007609885737854525,-0.135834264478882,-0.16247324393319315,-0.2944074045696838,-0.0066857232852081455,-0.23070986777896244
population,0.06649787443847748,1.0,0.843667228602409,0.777766909429235,0.7516727283338729,0.8444367286131924,0.8055437551427231,-0.008954793430708376,0.025490770182281068,0.011986261146099337,-0.1729944345422819,-0.028732425738947708,0.09759610551294659
violent_crimes,-0.004466426586202758,0.843667228602409,1.0,0.987591461156124,0.8860978736129681,0.9691060848962387,0.9801962710014678,0.011613584949242748,-0.06297220285529419,-0.05426999362450118,0.0726487794921752,0.2604340878765206,0.39972545020957573
homicides,-0.02339553595686563,0.777766909429235,0.987591461156124,1.0,0.8828888859288682,0.8903912814385149,0.9410714234484397,0.013705903798551251,-0.06214188393577393,-0.03702371405256582,0.11095108452509629,0.24146153284904767,0.4548601023081133
rapes,-0.10715106516230553,0.7516727283338729,0.8860978736129681,0.8828888859288682,1.0,0.8564227342740333,0.8574044796419313,0.012453533416032817,0.3347252864756007,0.2820770664547416,0.2948108582912046,0.21356724938689955,0.3967397204969202
assaults,0.010825203283990791,0.8444367286131924,0.9691060848962387,0.8903912814385149,0.8564227342740333,1.0,0.9015915828997189,0.01119958396785525,0.36845979554685976,0.23865081476618458,0.055954285541913285,0.33517767274434707,0.35602180641752185
robberies,-0.09550465771089796,0.8055437551427231,0.9801962710014678,0.9410714234484397,0.8574044796419313,0.9015915828997189,1.0,0.010722887587176216,0.3186254102204792,0.2512992299581503,0.06909486871844384,0.18959960561402553,0.4128952384988016
months_reported,-0.0007609885737854525,-0.008954793430708376,0.011613584949242748,0.013705903798551251,0.012453533416032817,0.01119958396785525,0.010722887587176216,1.0,0.035095494918376866,0.030083399047484364,0.043887691664578315,0.03276245452858746,0.025258164859750187
crimes_percapita,-0.135834264478882,0.025490770182281068,-0.06297220285529419,-0.06214188393577393,0.3347252864756007,0.36845979554685976,0.3186254102204792,0.035095494918376866,1.0,0.74229536630662,0.616199069146592,0.9173745051012623,0.9109836996908632
homicides_percapita,-0.16247324393319315,0.011986261146099337,-0.05426999362450118,-0.03702371405256582,0.2820770664547416,0.23865081476618458,0.2512992299581503,0.030083399047484364,0.74229536630662,1.0,0.4641453628457754,0.5805621962295624,0.7641983755180203
rapes_percapita,-0.2944074045696838,-0.1729944345422819,0.0726487794921752,0.11095108452509629,0.2948108582912046,0.055954285541913285,0.06909486871844384,0.043887691664578315,0.616199069146592,0.4641453628457754,1.0,0.4952464025617743,0.5788637669657122
assaults_percapita,-0.0066857232852081455,-0.028732425738947708,0.2604340878765206,0.24146153284904767,0.21356724938689955,0.33517767274434707,0.18959960561402553,0.03276245452858746,0.9173745051012623,0.5805621962295624,0.4952464025617743,1.0,0.6742041300205164
robberies_percapita,-0.23070986777896244,0.09759610551294659,0.39972545020957573,0.4548601023081133,0.3967397204969202,0.35602180641752185,0.4128952384988016,0.025258164859750187,0.9109836996908632,0.7641983755180203,0.5788637669657122,0.6742041300205164,1.0
